MMSI,BaseDateTime,LAT,LON,Heading,VesselName,CallSign,VesselType,Length,Width
257350000,2022-01-29T00:00:11,20.62721,-66.21803,224.0,STAR KILIMANJARO,LAIG7,70.0,208.0,32.0
368112890,2022-01-29T00:00:04,21.0945,-158.55833,312.0,KAHANA II,WDL2528,70.0,67.0,14.0
366733250,2022-01-29T00:00:07,40.10245,-74.04198,511.0,ATLANTIC SURVEYOR,WTR5417,70.0,31.0,7.0
311000640,2022-01-29T00:00:03,39.73783,-75.49982,200.0,ANEMOS,C6DC8,70.0,169.0,27.0
366938770,2022-01-29T00:00:05,41.68301,-82.32361,312.0,H LEE WHITE,WZD2465,70.0,214.0,23.0
477528400,2022-01-29T00:00:11,30.65371,-117.7997,16.0,SEASPAN ADONIS,VRTF4,73.0,333.0,46.0
636014059,2022-01-29T00:00:07,36.34188,-123.73756,30.0,CMA CGM TURQUOISE,A8RB5,70.0,259.0,32.0
477528400,2022-01-29T00:00:00,30.65005,-117.89986,36.0,SEASPAN ADONIS,VRTF4,73.0,333.0,46.0
636020192,2022-01-29T00:00:03,35.56265,-74.96898,6.0,SAN ALBERTO,A8MW6,70.0,186.0,28.0
308438000,2022-01-29T00:00:04,38.78577,-75.04217,144.0,ITALIA REEFER,C6KD5,70.0,158.0,24.0
636016649,2022-01-29T23:59:32,33.62735,-119.02098,335.0,SAN ANDRES,A8OK7,70.0,186.0,27.0
236111881,2022-01-29T00:00:01,24.92384,-79.62966,359.0,PAGLIA,ZDNC2,70.0,182.0,31.0
316044371,2022-01-29T00:00:08,42.26365,-83.10536,20.0,HARVEST SPIRIT,VDAY,70.0,152.0,22.0
538006059,2022-01-29T00:00:07,33.76165,-118.25226,247.0,CLIPPER KALAVRYTA,V7JJ6,70.0,199.0,
304972000,2022-01-29T00:00:08,26.54227,-79.95641,182.0,ALDEBARAN J,V2CB5,79.0,140.0,24.0
369390000,2022-01-29T00:00:15,32.93332,-77.73801,236.0,SAFMARINE MAFADI,VROX9,71.0,292.0,32.0
477168400,2022-01-29T00:00:08,38.78582,-73.96593,149.0,COSCO SHIPPING PEONY,VRRU6,71.0,366.0,48.0
